Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Rolling_Volatility_30,Log_Return
2017-12-09,457.343994140625,504.1470031738281,456.25299072265625,473.50201416015625,473.50201416015625,2003849984,0.03831100972587986,0.04894494955157969,0.03759536387875813
2017-12-10,472.78900146484375,472.78900146484375,429.5140075683594,441.7210083007813,441.7210083007813,1404179968,-0.0671190510472156,0.0489282092947687,-0.06947768654136811
2017-12-11,440.3580017089844,516.968994140625,439.10400390625,515.135986328125,515.135986328125,1771440000,0.16620214263694977,0.05592361304452992,0.15375243708510006
2017-12-12,522.2860107421875,657.3179931640625,504.4939880371094,651.4310302734375,651.4310302734375,5179829760,0.2645807079346558,0.07124380519030558,0.23474061105760555
2017-12-13,644.906005859375,747.9929809570312,597.7979736328125,702.7670288085938,702.7670288085938,4524539904,0.07880496345654286,0.07185611937911839,0.07585391317806586
2017-12-14,700.593994140625,753.1209716796875,664.989013671875,695.8159790039062,695.8159790039062,3821580032,-0.009890973138668269,0.07185225323208136,-0.009940213774400849
2017-12-15,696.3759765625,697.1320190429688,621.0609741210938,684.447998046875,684.447998046875,2758710016,-0.016337625608002115,0.07192484614087714,-0.016472556262746414
2017-12-16,686.1920166015625,718.385009765625,680.7860107421875,696.208984375,696.208984375,2165690112,0.01718317003144998,0.07166563899372051,0.01703720904107257
2017-12-17,696.2369995117188,735.8250122070312,696.2369995117188,719.9749755859375,719.9749755859375,2147389952,0.034136289166496026,0.07154265028864837,0.033566575104906744
2017-12-18,721.7319946289062,803.927978515625,689.2310180664062,794.64501953125,794.64501953125,3249230080,0.10371199899627581,0.07279915995222065,0.09867904334789465
2017-12-19,793.9010009765625,881.9439697265625,785.3419799804688,826.822998046875,826.822998046875,4096549888,0.04049352569353082,0.07279243901401852,0.03969514452900347
2017-12-20,827.5159912109375,845.06201171875,756.0040283203125,819.0859985351562,819.0859985351562,3969939968,-0.009357504000245709,0.07315873011866274,-0.0094015604954164
2017-12-21,820.2360229492188,880.5430297851562,792.6890258789062,821.06298828125,821.06298828125,3569060096,0.0024136534498566675,0.07281212719964897,0.0024107452669923733
2017-12-22,822.6430053710938,827.6829833984375,543.7620239257812,674.8599853515625,674.8599853515625,4977710080,-0.1780655138721301,0.08192001453232861,-0.1960945876765842
2017-12-23,681.3159790039062,763.89501953125,679.7310180664062,719.3870239257812,719.3870239257812,2480339968,0.0659796691768928,0.08167859184955133,0.06389425349507392
2017-12-24,721.7689819335938,721.7689819335938,614.9219970703125,694.1480102539062,694.1480102539062,2300549888,-0.0350840546638479,0.07813221247747039,-0.03571428471546085
2017-12-25,698.8699951171875,782.52099609375,698.8699951171875,765.833984375,765.833984375,2491760128,0.1032718859121593,0.07945816834627908,0.09828020664323166
2017-12-26,763.3699951171875,786.7899780273438,760.9349975585938,773.8359985351562,773.8359985351562,2201159936,0.010448758247111112,0.07945968792117074,0.010394547270593914
2017-12-27,774.969970703125,789.2529907226562,738.4130249023438,762.8419799804688,762.8419799804688,2100029952,-0.014207168670750336,0.07969936371575748,-0.01430905666948768
2017-12-28,762.2080078125,763.3189697265625,701.18701171875,737.0230102539062,737.0230102539062,2389149952,-0.03384576413482587,0.08003865237389549,-0.03443179305792983
2017-12-29,740.3889770507812,770.1170043945312,729.6079711914062,753.5919799804688,753.5919799804688,2648969984,0.022480939531120514,0.07709649797634789,0.022231967715714403
2017-12-30,753.8150024414062,753.8150024414062,685.2310180664062,717.2570190429688,717.2570190429688,3187780096,-0.04821569483587351,0.07799401685105069,-0.04941684006742787
2017-12-31,712.2119750976562,760.3480224609375,710.1190185546875,756.7329711914062,756.7329711914062,2554269952,0.05503738701798966,0.07814937701429804,0.053576204231864905
2018-01-01,755.7570190429688,782.530029296875,742.0040283203125,772.6409912109375,772.6409912109375,2595760128,0.021021972908733533,0.07799858995554228,0.02080405991935298
2018-01-02,772.3460083007812,914.8300170898438,772.3460083007812,884.4439697265625,884.4439697265625,5783349760,0.14470236473009224,0.08117880270413479,0.13514465974787557
2018-01-03,886.0,974.4710083007812,868.4509887695312,962.719970703125,962.719970703125,5093159936,0.08850306368278194,0.08194669802559433,0.08480341627994366
2018-01-04,961.7130126953124,1045.0799560546875,946.0859985351562,980.9219970703124,980.9219970703124,6502859776,0.0189068752296615,0.08158126174544014,0.01873036167350314
2018-01-05,975.75,1075.3900146484375,956.3250122070312,997.719970703125,997.719970703125,6683149824,0.017124678295504125,0.07926022878043452,0.016979703746571467
2018-01-06,995.1539916992188,1060.7099609375,994.6220092773438,1041.6800537109375,1041.6800537109375,4662219776,0.04406054233517298,0.07921814117427389,0.043117478521551726
2018-01-07,1043.010009765625,1153.1700439453125,1043.010009765625,1153.1700439453125,1153.1700439453125,5569880064,0.10702901513492269,0.08033049220842861,0.10167986398366087
2018-01-08,1158.260009765625,1266.9300537109375,1016.0499877929688,1148.530029296875,1148.530029296875,8450970112,-0.004023703765806075,0.0806308722577396,-0.004031820642391285
2018-01-09,1146.0,1320.97998046875,1145.489990234375,1299.739990234375,1299.739990234375,7965459968,0.13165520890217386,0.08028644477388118,0.12368134760985788
2018-01-10,1300.3399658203125,1417.3800048828125,1226.5999755859375,1255.8199462890625,1255.8199462890625,9214950400,-0.033791407724088396,0.0776743961217578,-0.034375534046981966
