Date,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
2025-02-14,2726.091552734375,199.9356689453125,2790.023681640625,205.12501525878906,2666.26806640625,194.3540496826172,2675.939453125,194.45455932617188,17732289901,3732334277
2025-02-15,2693.559814453125,194.48208618164062,2738.68115234375,200.0533905029297,2668.53173828125,192.81378173828125,2726.07470703125,199.88677978515625,10803019357,1869221857
2025-02-16,2663.31591796875,188.4864044189453,2724.096435546875,196.0703125,2655.297607421875,186.97987365722656,2693.5625,194.4811553955078,10593602117,2160799161
2025-02-17,2743.19970703125,177.6897430419922,2848.7841796875,189.50650024414062,2640.18212890625,175.2635498046875,2663.2294921875,188.48521423339844,24170425078,4345262539
2025-02-18,2669.3388671875,169.08428955078125,2754.6767578125,178.94607543945312,2606.900390625,161.30545043945312,2743.02294921875,177.68861389160156,23004152928,6684824301
2025-02-19,2715.77099609375,169.01080322265625,2735.917724609375,174.12147521972656,2656.375732421875,163.9593963623047,2669.21337890625,169.08543395996094,15272401903,3717681436
2025-02-20,2740.386474609375,176.04888916015625,2770.030517578125,176.588134765625,2708.216064453125,167.8734588623047,2715.6826171875,169.00534057617188,15917259320,3347070717
2025-02-21,2659.655517578125,168.89163208007812,2842.8271484375,180.4339599609375,2616.91943359375,167.30506896972656,2740.022216796875,176.03500366210938,31441524621,4684370707
2025-02-22,2764.029296875,172.16285705566406,2797.057861328125,174.46559143066406,2653.867431640625,168.367431640625,2660.035888671875,168.89163208007812,16403164397,2026581266
2025-02-23,2821.310302734375,168.03811645507812,2850.6103515625,173.0360565185547,2746.773681640625,166.62765502929688,2764.031005859375,172.16346740722656,20493767269,1621130854
2025-02-24,2513.8212890625,141.98948669433594,2839.010009765625,169.56248474121094,2478.8994140625,140.56651306152344,2820.456298828125,168.03811645507812,29127380459,7062261489
2025-02-25,2493.592529296875,144.10775756835938,2529.669189453125,146.7398681640625,2326.632080078125,132.48583984375,2514.2109375,141.99234008789062,40044790246,9341433919
2025-02-26,2331.45263671875,134.83132934570312,2503.422119140625,144.8746795654297,2255.054931640625,130.69107055664062,2493.381591796875,144.09996032714844,28815111323,4916419994
2025-02-27,2305.484375,137.6208038330078,2378.08740234375,142.1814727783203,2230.4482421875,134.729736328125,2331.51025390625,134.83160400390625,24286213447,3723520943
2025-02-28,2237.9052734375,148.03001403808594,2310.94921875,148.183837890625,2076.169921875,125.74221801757812,2305.56005859375,137.6207733154297,35737904667,7544673033
2025-03-01,2216.643310546875,143.6757049560547,2279.873046875,150.7871551513672,2144.090087890625,138.68467712402344,2237.942138671875,148.03021240234375,16135258239,3305410077
2025-03-02,2519.694580078125,178.49549865722656,2548.811767578125,178.50856018066406,2175.321533203125,140.29757690429688,2216.521728515625,143.67672729492188,34854193845,11540413390
2025-03-03,2145.573974609375,142.02108764648438,2522.316650390625,178.6346435546875,2097.076171875,139.79010009765625,2519.531005859375,178.4952392578125,31473561910,9241009702
2025-03-04,2170.01513671875,144.9165802001953,2220.358642578125,146.39646911621094,1996.767578125,131.57347106933594,2145.65283203125,142.03318786621094,33935738380,8035056091
2025-03-05,2241.977294921875,146.26730346679688,2272.79736328125,149.4854736328125,2156.099365234375,140.59686279296875,2169.98681640625,144.91880798339844,22105432727,4501939048
2025-03-06,2202.476806640625,143.355224609375,2319.396240234375,152.7792510986328,2177.677001953125,142.7803955078125,2241.906494140625,146.27066040039062,18509069102,4204376336
2025-03-07,2138.987548828125,139.20913696289062,2254.232421875,150.02325439453125,2103.47265625,135.7171630859375,2202.498291015625,143.355224609375,22425792863,6090751623
2025-03-08,2201.51025390625,136.94207763671875,2232.3271484375,140.90457153320312,2107.72802734375,135.48297119140625,2139.7978515625,139.20913696289062,10533204814,2270939562
2025-03-09,2015.5091552734375,126.43543243408203,2210.313720703125,139.72576904296875,1991.1934814453125,125.93571472167969,2201.708740234375,136.9428253173828,16103964994,3429886567
2025-03-10,1861.1513671875,118.291748046875,2150.706298828125,131.24095153808594,1812.766845703125,115.91789245605469,2015.430419921875,126.43543243408203,35005066442,5519806938
2025-03-11,1919.844970703125,125.26394653320312,1961.7977294921875,128.14886474609375,1760.9417724609375,113.189208984375,1859.7777099609375,118.29167175292969,30898385863,5259428587
2025-03-12,1908.982666015625,126.58324432373047,1954.5711669921875,130.6551055908203,1832.01904296875,121.36756134033203,1919.664794921875,125.26190185546875,22898872951,4112201839
2025-03-13,1862.9696044921875,123.28614807128906,1919.688232421875,128.15863037109375,1823.525390625,120.90947723388672,1909.015380859375,126.58324432373047,17977225564,2871050068
2025-03-14,1909.467529296875,133.31448364257812,1945.0914306640625,135.6434783935547,1861.10595703125,123.11714935302734,1862.9979248046875,123.2865982055664,12122715282,3161542602
2025-03-15,1937.3946533203125,135.91253662109375,1955.2384033203125,136.48133850097656,1904.9656982421875,132.55995178222656,1909.528076171875,133.31324768066406,6456484591,1844463215
