Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Rolling_Volatility_30,Log_Return
2017-12-09,2.8260200023651123,2.867340087890625,2.330349922180176,2.6104300022125244,2.6104300022125244,27217000,-0.07780493908247088,0.0690295210053552,-0.08099851498452341
2017-12-10,2.6613399982452397,2.69544005393982,2.211699962615967,2.483370065689087,2.483370065689087,19258500,-0.04867394889567822,0.06692305332338012,-0.04989842440346175
2017-12-11,2.5130200386047363,2.8244800567626958,2.503350019454956,2.7066500186920166,2.7066500186920166,19427000,0.08991006056158368,0.06643877896815581,0.08609517959039366
2017-12-12,2.726449966430664,2.7783000469207764,2.61343002319336,2.6847500801086426,2.6847500801086426,24523200,-0.008091160080591853,0.06343448081324216,-0.008124071162422863
2017-12-13,2.687079906463623,2.8750500679016118,2.5714399814605717,2.77810001373291,2.77810001373291,28429500,0.03477043703840388,0.06125387970445956,0.03417960215318805
2017-12-14,2.773439884185791,3.1587400436401367,2.77266001701355,3.1587400436401367,3.1587400436401367,40335300,0.1370145164053196,0.06326896996190699,0.12840598197389838
2017-12-15,3.1566998958587646,4.411250114440918,3.142819881439209,3.996150016784668,3.996150016784668,52745900,0.26510886036050585,0.07578948679811566,0.23515817409786427
2017-12-16,4.168469905853272,4.725409984588623,3.9184000492095943,4.664649963378906,4.664649963378906,54002400,0.16728599872036787,0.0795273714722865,0.15468139501906378
2017-12-17,4.669340133666992,6.750430107116699,4.669340133666992,5.756720066070557,5.756720066070557,98159600,0.23411619548417173,0.08547536522742584,0.21035508270680667
2017-12-18,5.792399883270264,6.221320152282715,5.280970096588135,5.61584997177124,5.61584997177124,66623700,-0.0244705479305114,0.08572266958406703,-0.024774927606933707
2017-12-19,5.646999835968018,6.5453200340271,5.579760074615479,5.792329788208008,5.792329788208008,66695200,0.03142530824788148,0.08440900868883346,0.030941640095825527
2017-12-20,5.78863000869751,5.78863000869751,4.933169841766357,5.176209926605225,5.176209926605225,47866900,-0.10636822904266885,0.08867193685311142,-0.11246147796779744
2017-12-21,5.184909820556641,5.698160171508789,4.814149856567383,5.180009841918945,5.180009841918945,46905500,0.000734111515491298,0.08794530558280886,0.000733842187435867
2017-12-22,5.205460071563721,5.212739944458008,3.513309955596924,4.336150169372559,4.336150169372559,36672600,-0.16290696317167175,0.09568940566680449,-0.1778200595584301
2017-12-23,4.394959926605225,5.134510040283203,4.307610034942627,4.839260101318359,4.839260101318359,32930300,0.11602686998697753,0.09558352729177522,0.10977494071853472
2017-12-24,4.74183988571167,5.285679817199707,4.198649883270264,5.285679817199707,5.285679817199707,43676900,0.09224958083152623,0.09522942155823326,0.08823940508327939
2017-12-25,5.308579921722412,6.9552202224731445,5.250539779663086,6.560009956359863,6.560009956359863,66374400,0.24109105795880037,0.10160312927156816,0.2159908781953067
2017-12-26,6.559279918670654,10.622099876403809,6.496379852294922,9.029419898986816,9.029419898986816,167812992,0.3764338711457116,0.11733109909074171,0.31949600314298954
2017-12-27,9.254260063171388,11.302200317382812,8.486590385437012,10.107000350952148,10.107000350952148,167808000,0.11934105003647533,0.11779745945838241,0.112740163980577
2017-12-28,10.126299858093262,10.196399688720703,8.149279594421387,9.321410179138184,9.321410179138184,109298000,-0.07772733200112703,0.11979989420490222,-0.08091436378992892
2017-12-29,9.31861972808838,9.534850120544434,8.536820411682129,8.807600021362305,8.807600021362305,70849400,-0.05512150499779678,0.11860875926327889,-0.05669893647233429
2017-12-30,8.713769912719727,8.761099815368652,7.1879401206970215,7.841010093688965,7.841010093688965,72933904,-0.1097449844825984,0.12163520867854213,-0.11624732300984571
2017-12-31,7.763309955596924,8.839119911193848,7.708990097045898,8.635580062866211,8.635580062866211,74927904,0.10133515448689145,0.12190456949250081,0.09652322057904725
