Asset,Volatility_Ann,Max_Drawdown,VaR_95,Risk_Score,Cluster_Group,Risk_Category
BNB-USD,0.5204010637965326,-0.36849616091116955,-0.04099512691155609,50.84944180612081,2,Medium Risk / Balanced
DOGE-USD,0.9153050930245415,-0.6512490930621869,-0.07088389202269876,88.9510625245731,0,High Risk / Speculative
ETH-USD,0.746736877395168,-0.553537074933007,-0.05625002575332923,72.66860219583992,0,Medium Risk / Balanced
BTC-USD,0.4115467644712457,-0.32146980484614385,-0.03552850361286357,42.969446934414904,1,Medium Risk / Balanced
XRP-USD,0.8116242401984383,-0.4915926414978076,-0.05735225027592208,72.68855800382649,0,Medium Risk / Balanced
SOL-USD,0.8303651121653154,-0.5619782500761088,-0.06390798868023471,79.34407770812118,0,High Risk / Speculative
